a b
100 9.481029392649955
139 18.015561334363362
195 17.22151486012258
273 19.858548969302753
383 23.492128616682763
536 28.525632297147375
749 36.683554027827505
1049 43.99512939292816
1467 53.16874645673679
2053 62.041964457402
2872 71.45574884153176
4019 79.03237107153048
5623 85.08435748957905
7867 89.51351624172688
11006 92.22080030480659
15399 94.34141364941541
21544 95.60384600327203
30141 96.2506685972212
42169 96.34378472338948
58997 95.7446105039985
82540 94.35194758776908
115478 90.84492708665765
161559 83.49962589798008
226030 71.7790687229383
316227 60.84867953683691
442418 56.26378171860505
618965 55.47881544752433
865964 59.848618244489614
1211527 65.93448065966827
1694988 73.05039682173418
2371373 79.9618210696854
3317671 85.91808034054148
4641588 91.16988047844139
6493816 94.27762710511722
9085175 98.4133324650214
12710617 99.48946010510437
17782794 99.11329829687125
24879023 99.11084075503443
34807005 99.36239674812914
48696752 99.49663511147835
68129206 99.13021390972526
95316188 99.57467376936805
133352143 99.46711210835169
186566357 99.28799622614541
261015721 99.3787923436256
365174127 99.5528217706828
510896977 99.26380507301512
714770576 99.31837397645201
