w  FPR   FNR   Error   1-E   Phi   percentDup
100  43.91  0  43.91  56.09  2.29  0.04
111  43.91  0  43.91  56.09  2.4  0.05
123  43.91  0  43.91  56.09  2.53  0.05
138  43.91  0  43.91  56.09  2.69  0.06
153  43.9  0  43.9  56.1  2.8  0.06
171  43.9  0  43.9  56.1  2.95  0.07
190  43.89  0  43.89  56.11  3.1  0.08
212  43.89  0  43.89  56.11  3.26  0.08
236  43.89  0  43.89  56.11  3.44  0.09
262  43.88  0  43.88  56.12  3.64  0.1
292  43.87  0  43.87  56.13  3.85  0.12
325  43.87  0  43.87  56.13  4.04  0.13
362  43.86  0  43.86  56.14  4.26  0.14
404  43.85  0  43.85  56.15  4.51  0.16
449  43.84  0  43.84  56.16  4.8  0.18
500  43.82  0  43.82  56.18  5.06  0.2
557  43.81  0  43.81  56.19  5.35  0.22
621  43.8  0  43.8  56.2  5.61  0.25
691  43.79  0  43.79  56.21  5.88  0.27
769  43.77  0  43.77  56.23  6.17  0.3
857  43.75  0  43.75  56.25  6.51  0.33
954  43.73  0  43.73  56.27  6.85  0.37
1062  43.71  0  43.71  56.29  7.18  0.4
1183  43.68  0  43.68  56.32  7.59  0.45
1317  43.66  0  43.66  56.34  7.98  0.5
1466  43.62  0  43.62  56.38  8.45  0.56
1633  43.59  0  43.59  56.41  8.93  0.62
1818  43.55  0  43.55  56.45  9.43  0.69
2024  43.5  0  43.5  56.5  9.96  0.77
2254  43.45  0  43.45  56.55  10.51  0.86
2509  43.4  0  43.4  56.6  11.05  0.95
2794  43.34  0  43.34  56.66  11.69  1.06
3111  43.27  0  43.27  56.73  12.35  1.18
3464  43.19  0  43.19  56.81  13.07  1.32
3857  43.1  0  43.1  56.9  13.8  1.47
4294  43.01  0  43.01  56.99  14.56  1.63
4781  42.9  0  42.9  57.1  15.35  1.81
5324  42.78  0  42.78  57.22  16.22  2.02
5928  42.65  0  42.65  57.35  17.14  2.25
6600  42.5  0  42.5  57.5  18.09  2.5
7348  42.34  0  42.34  57.66  19.07  2.77
8182  42.15  0  42.15  57.85  20.14  3.08
9110  41.95  0  41.95  58.05  21.25  3.42
10143  41.73  0  41.73  58.27  22.43  3.79
11294  41.47  0  41.47  58.53  23.67  4.21
12574  41.19  0  41.19  58.81  25.01  4.67
14001  40.88  0  40.88  59.12  26.39  5.18
15588  40.52  0  40.52  59.48  27.89  5.75
17356  40.12  0  40.12  59.88  29.46  6.37
19325  39.69  0  39.69  60.31  31.1  7.05
21517  39.2  0.09  39.3  60.7  32.79  7.8
23957  38.72  0.76  39.48  60.52  34.22  8.62
26674  38.27  2.25  40.52  59.48  35.19  9.53
29699  37.86  4.5  42.37  57.63  35.66  10.54
33067  37.52  7.47  44.99  55.01  35.57  11.66
36818  37.32  11.25  48.57  51.43  34.7  12.87
40993  37.23  15.49  52.72  47.28  33.24  14.19
45642  37.22  19.83  57.05  42.95  31.43  15.63
50819  37.22  23.71  60.93  39.07  29.71  17.2
56582  37.19  27.11  64.3  35.7  28.17  18.9
63000  37.16  30.1  67.26  32.74  26.73  20.71
64472  37.16  30.74  67.9  32.1  26.4  21.12
65979  37.15  31.33  68.48  31.52  26.1  21.52
67521  37.15  31.91  69.06  30.94  25.8  21.94
69099  37.15  32.49  69.64  30.36  25.49  22.36
70714  37.14  33.06  70.19  29.81  25.2  22.82
72366  37.14  33.64  70.77  29.23  24.89  23.27
74057  37.13  34.19  71.32  28.68  24.58  23.73
75788  37.12  34.7  71.82  28.18  24.31  24.19
77559  37.12  35.23  72.35  27.65  24.01  24.66
79372  37.12  35.75  72.87  27.13  23.71  25.13
81227  37.11  36.23  73.35  26.65  23.44  25.61
83125  37.11  36.7  73.81  26.19  23.17  26.08
85068  37.09  37.15  74.24  25.76  22.92  26.57
87056  37.09  37.6  74.69  25.31  22.66  27.07
89091  37.08  38.06  75.14  24.86  22.39  27.57
91173  37.08  38.51  75.6  24.4  22.1  28.08
93304  37.08  38.96  76.04  23.96  21.82  28.6
95484  37.08  39.37  76.45  23.55  21.56  29.13
97716  37.07  39.77  76.84  23.16  21.31  29.65
