w  FPR   FNR   Error   1-E   Phi   percentDup
100  0.02  0  0.02  99.98  80.54  0.04
111  0.04  0  0.04  99.96  73.96  0.05
123  0.03  0  0.03  99.97  81.42  0.05
138  0.03  0  0.03  99.97  83  0.06
153  0.03  0  0.03  99.97  84.31  0.06
171  0.02  0  0.02  99.98  87.19  0.07
190  0.03  0  0.03  99.97  83.49  0.08
212  0.02  0  0.02  99.98  90.24  0.08
236  0.02  0  0.02  99.98  89.88  0.09
262  0.02  0  0.02  99.98  91.24  0.1
292  0.03  0  0.03  99.97  89.11  0.12
325  0.03  0  0.03  99.97  88.9  0.13
362  0.03  0  0.03  99.97  89.7  0.14
404  0.05  0  0.05  99.95  87.02  0.16
449  0.08  0  0.08  99.92  83.34  0.18
500  0.09  0  0.09  99.91  82.49  0.2
557  0.14  0  0.14  99.86  78.17  0.22
621  0.21  0  0.21  99.79  73.44  0.25
691  0.32  0  0.32  99.68  67.68  0.27
769  0.42  0  0.42  99.58  64.4  0.3
857  0.6  0  0.6  99.4  59.5  0.33
954  0.78  0  0.78  99.22  56.38  0.37
1062  1.11  0  1.11  98.89  51.4  0.4
1183  1.46  0  1.46  98.54  48.26  0.45
1317  1.93  0  1.93  98.07  44.85  0.5
1466  2.58  0  2.58  97.42  41.66  0.56
1633  3.14  0  3.14  96.86  40.1  0.62
1818  4.12  0  4.12  95.88  37.25  0.69
2024  5.18  0  5.18  94.82  35.16  0.77
2254  6.18  0  6.18  93.82  33.97  0.86
2509  7.61  0  7.61  92.39  32.13  0.95
2794  9.64  0  9.64  90.36  30.06  1.06
3111  11.05  0  11.05  88.95  29.46  1.18
3464  12.92  0  12.92  87.08  28.59  1.32
3857  15.52  0  15.52  84.48  27.22  1.47
4294  18.72  0  18.72  81.28  25.73  1.63
4781  24.15  0  24.15  75.85  23.22  1.81
5324  23.5  0  23.5  76.5  24.85  2.02
5928  26.63  0  26.63  73.37  24.16  2.25
6600  30.42  0  30.42  69.58  23.26  2.5
7348  34.86  0  34.86  65.14  22.19  2.77
8182  38.97  0  38.97  61.03  21.46  3.08
9110  42.05  0  42.05  57.95  21.22  3.42
10143  55.34  0  55.34  44.66  17.24  3.79
11294  49.14  0  49.14  50.86  20.42  4.21
12574  53.16  0  53.16  46.84  19.89  4.67
14001  68.95  0  68.95  31.05  15.09  5.18
15588  73.58  0  73.58  26.42  14.22  5.75
17356  82.08  0  82.08  17.92  11.71  6.37
19325  84.4  0  84.4  15.6  11.34  7.05
21517  86.41  0  86.41  13.59  11  7.8
23957  88.39  0  88.39  11.61  10.58  8.62
26674  89.99  0  89.99  10.01  10.24  9.53
29699  91.44  0  91.44  8.56  9.88  10.54
33067  92.59  0  92.59  7.41  9.62  11.66
36818  93.47  0  93.47  6.53  9.44  12.87
40993  94.21  0  94.21  5.79  9.3  14.19
45642  94.78  0  94.78  5.22  9.24  15.63
50819  95.04  0  95.04  4.96  9.44  17.2
56582  95.25  0  95.25  4.75  9.66  18.9
