w  FPR   FNR   Error   1-E   Phi   percentDup
100  24.29  0  24.29  75.71  3.57  0.04
111  24.28  0  24.28  75.72  3.75  0.05
123  24.28  0  24.28  75.72  3.95  0.05
138  24.27  0  24.27  75.73  4.19  0.06
153  24.27  0  24.27  75.73  4.38  0.06
171  24.27  0  24.27  75.73  4.61  0.07
190  24.26  0  24.26  75.74  4.84  0.08
212  24.25  0  24.25  75.75  5.08  0.08
236  24.25  0.11  24.36  75.64  5.36  0.09
262  24.24  0.29  24.53  75.47  5.67  0.1
292  24.23  0.43  24.66  75.34  5.97  0.12
325  24.22  0.39  24.61  75.39  6.27  0.13
362  24.21  0.42  24.63  75.37  6.62  0.14
404  24.2  0.38  24.57  75.43  7.02  0.16
449  24.18  0.33  24.52  75.48  7.46  0.18
500  24.17  0.35  24.52  75.48  7.86  0.2
557  24.15  0.62  24.77  75.23  8.29  0.22
621  24.13  0.61  24.74  75.26  8.69  0.25
691  24.11  0.7  24.82  75.18  9.1  0.27
769  24.09  0.84  24.93  75.07  9.54  0.3
857  24.07  0.97  25.04  74.96  10.03  0.33
954  24.04  0.95  25  75  10.57  0.37
1062  24.02  1.29  25.31  74.69  11.03  0.4
1183  23.98  1.42  25.41  74.59  11.63  0.45
1317  23.95  1.55  25.5  74.5  12.21  0.5
1466  23.9  1.76  25.66  74.34  12.89  0.56
1633  23.86  2  25.85  74.15  13.58  0.62
1818  23.8  2.19  26  74  14.31  0.69
2024  23.75  2.43  26.17  73.83  15.05  0.77
2254  23.69  2.76  26.45  73.55  15.82  0.86
2509  23.62  3.1  26.72  73.28  16.55  0.95
2794  23.54  3.43  26.97  73.03  17.43  1.06
3111  23.46  3.83  27.29  72.71  18.31  1.18
3464  23.36  4.43  27.79  72.21  19.21  1.32
3857  23.26  4.94  28.21  71.79  20.14  1.47
4294  23.15  5.48  28.63  71.37  21.09  1.63
4781  23.03  6.1  29.13  70.87  22.05  1.81
5324  22.89  6.63  29.52  70.48  23.12  2.02
5928  22.74  7.31  30.05  69.95  24.18  2.25
6600  22.59  8.15  30.73  69.27  25.21  2.5
7348  22.41  8.94  31.36  68.64  26.27  2.77
8182  22.23  9.88  32.11  67.89  27.35  3.08
9110  22.02  10.74  32.75  67.25  28.49  3.42
10143  21.8  11.77  33.56  66.44  29.58  3.79
11294  21.56  12.96  34.52  65.48  30.64  4.21
12574  21.3  14.15  35.45  64.55  31.76  4.67
14001  21.03  15.49  36.52  63.48  32.78  5.18
15588  20.74  16.93  37.66  62.34  33.82  5.75
17356  20.43  18.49  38.91  61.09  34.77  6.37
19325  20.11  20.19  40.3  59.7  35.61  7.05
21517  19.77  21.87  41.64  58.36  36.47  7.8
23957  19.42  23.74  43.16  56.84  37.19  8.62
26674  19.05  25.66  44.7  55.3  37.85  9.53
29699  18.67  27.78  46.45  53.55  38.33  10.54
33067  18.28  29.94  48.22  51.78  38.73  11.66
36818  17.89  32.14  50.02  49.98  39.01  12.87
40993  17.5  34.46  51.97  48.03  39.07  14.19
45642  17.12  36.82  53.93  46.07  39  15.63
50819  16.74  39.23  55.97  44.03  38.73  17.2
56582  16.37  41.6  57.98  42.02  38.35  18.9
63000  16.04  43.97  60  40  37.78  20.71
64472  15.97  44.5  60.47  39.53  37.61  21.12
65979  15.9  44.99  60.89  39.11  37.47  21.52
67521  15.82  45.45  61.27  38.73  37.36  21.94
69099  15.75  45.92  61.67  38.33  37.23  22.36
70714  15.67  46.45  62.12  37.88  37.05  22.82
72366  15.61  46.95  62.56  37.44  36.88  23.27
74057  15.54  47.45  62.99  37.01  36.7  23.73
75788  15.47  47.95  63.42  36.58  36.51  24.19
77559  15.41  48.48  63.89  36.11  36.29  24.66
79372  15.35  48.96  64.31  35.69  36.09  25.13
81227  15.28  49.43  64.71  35.29  35.91  25.61
83125  15.23  49.91  65.14  34.86  35.68  26.08
85068  15.17  50.39  65.56  34.44  35.46  26.57
87056  15.1  50.84  65.94  34.06  35.27  27.07
89091  15.04  51.31  66.35  33.65  35.05  27.57
91173  14.98  51.77  66.75  33.25  34.83  28.08
93304  14.93  52.25  67.18  32.82  34.58  28.6
95484  14.88  52.72  67.6  32.4  34.32  29.13
97716  14.82  53.14  67.96  32.04  34.11  29.65
 
