 w  FPR   FNR   Error   1-E   Phi   percentDup
 100  30.52  18.26  48.78  51.22  2.17  0.04
 500  30.45  19.11  49.56  50.44  4.78  0.19
 1000  30.35  19.98  50.33  49.67  6.63  0.38
 5000  29.79  30.35  60.14  39.86  11.77  1.89
 10000  29.34  38.26  67.6  32.4  13.34  3.74
 15000  29.06  43.68  72.74  27.26  13.55  5.55
 20000  28.83  47.68  76.51  23.49  13.29  7.33
 30000  28.55  53.19  81.75  18.25  12.3  10.8
 50000  28.4  59.14  87.53  12.47  10.24  17.33
 70000  28.31  62.16  90.47  9.53  8.76  23.36
 80000  28.33  63.14  91.47  8.53  8.14  26.2
 100000  28.31  64.59  92.9  7.1  7.17  31.56
 125000  28.31  65.75  94.06  5.94  6.25  37.7
 200000  28.3  67.46  95.76  4.24  4.6  52.89
 300000  28.29  68.38  96.68  3.32  3.38  67.33
 400000  28.27  68.8  97.07  2.93  2.67  77.08
 500000  28.29  69.02  97.31  2.69  2.16  83.67
