 w  FPR   FNR   Error   1-E   Phi   percentDup
 100  4.04  15.05  19.09  80.91  7.97  0.04
 500  18.4  14.19  32.59  67.41  7.57  0.19
 1000  16.66  21.23  37.89  62.11  10.18  0.38 % First line of L = 2
 5000  59.11  11.17  70.28  29.72  8.24  1.89
 10000  82.54  5.13  87.67  12.33  6.23  3.74
 15000  92.24  2.39  94.63  5.37  4.68  5.55
 20000  96.42  1.18  97.6  2.4  3.45  7.33
 30000  99.14  0.29  99.43  0.57  1.98  10.8
 50000  99.9  0.02  99.92  0.08  1.05  17.33
 70000  99.94  0.0  99.94  0.06  1.13  23.36
 80000  99.94  0.0  99.94  0.06  1.21  26.2
 100000  99.94  0.0  99.94  0.06  1.37  31.56
 125000  99.93  0.0  99.93  0.07  1.57  37.7
 200000  99.91  0.0  99.91  0.09  2.14  52.89
 300000  99.87  0.0  99.87  0.13  2.91  67.33
 400000  99.82  0.0  99.82  0.18  3.71  77.08
 500000  99.75  0.0  99.75  0.25  4.58  83.67
 
 % End of L = 3
 % 1000  33.37  11.31  44.68  55.32  7.2  0.38
 % 5000  86.35  2.56  88.91  11.09  4.42  1.89
 % 10000  97.96  0.41  98.37  1.63  2.22  3.74
 % 15000  99.65  0.07  99.73  0.27  1.09  5.55
 % 20000  99.92  0.02  99.94  0.06  0.6  7.33
 % 30000  99.98  0  99.98  0.02  0.51  10.8
 % 50000  99.98  0  99.98  0.02  0.66  17.33
 % 70000  99.97  0  99.97  0.03  0.79  23.36
 % 80000  99.97  0  99.97  0.03  0.85  26.2
 % 100000  99.97  0  99.97  0.03  0.97  31.56
 % 125000  99.97  0  99.97  0.03  1.11  37.7
 % 200000  99.96  0  99.96  0.04  1.52  52.89
 % 300000  99.94  0  99.94  0.06  2.05  67.33
 % 400000  99.91  0  99.91  0.09  2.62  77.08
 % 500000  99.87  0  99.87  0.13  3.24  83.67
 % 

