 w  FPR   FNR   Error   1-E   Phi   percentDup
 100  0.11  15.57  15.68  84.32  43.88  0.04
 500  0.53  17.47  18.  82.  43.34  0.19
 1000  1.05  17.19  18.24  81.76  43.4  0.38
 5000  4.89  20.28  25.18  74.82  41.87  1.89
 10000  8.95  23.49  32.44  67.56  40.2  3.74
 15000  7.67  33.54  41.21  58.79  43.14  5.55 % First line L = 2
 20000  9.54  35.76  45.3  54.7  41.66  7.33
 30000  12.54  39.68  52.22  47.78  38.85  10.8
 50000  16.57  45.38  61.95  38.05  34.13  17.33
 70000  18.99  49.46  68.45  31.55  30.3  23.36
 80000  19.84  51.05  70.88  29.12  28.69  26.2
 100000  21.07  53.66  74.73  25.27  25.87  31.56
 125000  22.04  56.02  78.06  21.94  23.14  37.7
 200000  11.6  70.95  82.55  17.45  21.45  52.89 % First line L = 1
 300000  12.42  73.04  85.46  14.54  16.41  67.33
 400000  12.87  73.99  86.86  13.14  13.12  77.08
 500000  13.07  74.53  87.6  12.4  10.82  83.67
 % End L = 3
 % 15000  12.36  26.22  38.58  61.42  38.6  5.55
 % 20000  15.21  28.52  43.74  56.26  37.13  7.33
 % 30000  19.71  32.52  52.22  47.78  34.3  10.8
 % 50000  25.42  37.95  63.37  36.63  29.77  17.33
 % 70000  28.62  41.77  70.38  29.62  26.18  23.36
 % 80000  29.69  43.24  72.93  27.07  24.69  26.2
 % 100000  31.15  45.61  76.76  23.24  22.2  31.56
 % 125000  32.25  47.91  80.17  19.83  19.64  37.7
 % 200000  33.51  51.82  85.33  14.67  14.88  52.89
 % 300000  33.75  54.21  87.96  12.04  11.45  67.33
 % 400000  33.55  55.44  88.99  11.01  9.38  77.08
 % 500000  32.93  56.11  89.04  10.96  8.21  83.67
 % 
 % End L = 2
 %% 200000  23.38  60.22  83.6  16.4  17.54  52.89
 %% 300000  23.92  62.78  86.7  13.3  13.27  67.33
 %% 400000  23.94  64.01  87.95  12.05  10.75  77.08
 %% 500000  23.66  64.68  88.34  11.66  9.14  83.67
