 w  FPR   FNR   Error   1-E   Phi   percentDup
 100  0.26  15.6  15.86  84.14  30.54  0.04
 500  1.26  17.48  18.74  81.26  30.03  0.19
 1000  2.48  17.31  19.79  80.21  29.96  0.38
 5000  11.08  19.93  31.  69.  28.5  1.89
 10000  19.52  22.38  41.91  58.09  26.73  3.74
 15000  13.43  30.79  44.21  55.79  34.4  5.55 % First line of L = 2
 20000  16.62  32.34  48.96  51.04  33.03  7.33
 30000  21.7  34.83  56.53  43.47  30.61  10.8
 50000  28.33  38.48  66.81  33.19  26.5  17.33
 70000  14.16  59.09  73.25  26.75  28.08  23.36 % First line of L = 1
 80000  15.11  59.81  74.92  25.08  26.76  26.2
 100000  16.6  60.89  77.49  22.51  24.6  31.56
 125000  17.97  62.  79.96  20.04  22.27  37.7
 200000  20.36  64.01  84.36  15.64  17.27  52.89
 300000  21.76  65.35  87.11  12.89  13.14  67.33
 400000  22.51  65.87  88.38  11.62  10.52  77.08
 500000  22.86  66.16  89.02  10.98  8.7  83.67
 % End of L = 3
 % 15000  26.04  24.33  50.37  49.63  25.1  5.55
 % 20000  31.16  25.78  56.93  43.07  23.64  7.33
 % 30000  38.39  28.06  66.45  33.55  21.09  10.8
 % 50000  46.22  30.96  77.18  22.82  17.27  17.33
 % 70000  49.88  32.95  82.83  17.17  14.58  23.36
 % 80000  50.96  33.66  84.62  15.38  13.6  26.2
 % 100000  52.35  34.86  87.21  12.79  11.98  31.56
 % 125000  53.28  35.99  89.26  10.74  10.52  37.7
 % 200000  54.22  37.86  92.08  7.92  8.02  52.89
 % 300000  54.26  38.94  93.2  6.8  6.48  67.33
 % 400000  53.77  39.51  93.27  6.73  5.75  77.08
 % 500000  52.81  39.83  92.64  7.36  5.53  83.67
 % 
 % End of L=2
 % 70000  32.23  41.05  73.28  26.72  23.24  23.36
 % 80000  33.57  42.09  75.66  24.34  21.85  26.2
 % 100000  35.49  43.73  79.22  20.78  19.57  31.56
 % 125000  37  45.26  82.26  17.74  17.33  37.7
 % 200000  39.02  47.9  86.91  13.09  13.11  52.89
 % 300000  39.81  49.55  89.36  10.64  10  67.33
 % 400000  39.83  50.27  90.1  9.9  8.33  77.08
 % 500000  39.47  50.72  90.19  9.81  7.26  83.67
 % 
