 w  FPR   FNR   Error   1-E   Phi   percentDup
 100  2.01  15.13  17.14  82.86  11.41  0.04
 500  9.5  15.57  25.07  74.93  11.07  0.19
 1000  11.16  22.29  33.45  66.55  12.86  0.38 % First line of L = 2
 5000  34.88  23.64  58.52  41.48  11.78  1.89
 10000  41.03  34.42  75.45  24.55  9.43  3.74
 15000  42.63  40.38  83.01  16.99  7.85  5.55
 20000  43.37  43.47  86.84  13.16  6.9  7.33
 30000  24.22  64.19  88.42  11.58  8.25  10.8  % First line of L=1
 50000  25.06  67.47  92.53  7.47  6.42  17.33
 70000  25.4  68.95  94.35  5.65  5.4  23.36
 80000  25.52  69.42  94.94  5.06  5.02  26.2
 100000  25.7  70.13  95.83  4.17  4.37  31.56
 125000  25.82  70.62  96.44  3.56  3.88  37.7
 200000  25.95  71.44  97.39  2.61  2.93  52.89
 300000  26.06  71.87  97.93  2.07  2.17  67.33
 400000  26.11  72.07  98.18  1.82  1.71  77.08
 500000  26.11  72.19  98.3  1.7  1.41  83.67
 
 % End of L = 3
 % 1000  17.94  13.63  31.57  68.43  10.9  0.38
 % 5000  50.27  14.79  65.06  34.94  9.51  1.89
 % 10000  56.45  24.25  80.7  19.3  7.4  3.74
 % 15000  57.71  29.07  86.79  13.21  6.14  5.55
 % 20000  58.29  31.66  89.96  10.04  5.32  7.33
 % 30000  58.81  34.32  93.12  6.88  4.35  10.8
 % 50000  59.24  36.4  95.64  4.36  3.37  17.33
 % 70000  59.39  37.36  96.75  3.25  2.81  23.36
 % 80000  59.45  37.59  97.05  2.95  2.65  26.2
 % 100000  59.43  38.02  97.46  2.54  2.42  31.56
 % 125000  59.47  38.36  97.83  2.17  2.15  37.7
 % 200000  59.23  38.89  98.13  1.87  1.91  52.89
 % 300000  58.81  39.16  97.98  2.02  1.94  67.33
 % 400000  57.92  39.41  97.33  2.67  2.29  77.08
 % 500000  56.83  39.54  96.37  3.63  2.74  83.67
 % 
 % End of L=2
 % 30000  44.15  46.77  90.92  9.08  5.66  10.8
 % 50000  44.75  49.46  94.2  5.8  4.4  17.33
 % 70000  44.96  50.74  95.7  4.3  3.65  23.36
 % 80000  45.04  51.11  96.15  3.85  3.39  26.2
 % 100000  45.12  51.6  96.71  3.29  3.06  31.56
 % 125000  45.17  52.01  97.18  2.82  2.74  37.7
 % 200000  45.07  52.71  97.78  2.22  2.22  52.89
 % 300000  44.8  53.07  97.86  2.14  2.01  67.33
 % 400000  44.33  53.28  97.62  2.38  2.01  77.08
 % 500000  43.66  53.37  97.03  2.97  2.2  83.67
 % 

