 w  FPR   FNR   Error   1-E   Phi   percentDup
 100  27.63  0  27.63  72.37  3.15  0.04
 500  27.51  0  27.51  72.49  7.07  0.19
 1000  27.38  0.03  27.41  72.59  9.97  0.38
 5000  26.52  13.16  39.67  60.33  18.34  1.89
 10000  26.32  37.42  63.74  36.26  15.37  3.74
 15000  26.3  49.13  75.43  24.57  12.58  5.55
 20000  26.3  55.02  81.32  18.68  10.88  7.33
 30000  26.3  61.06  87.36  12.64  8.77  10.8
 50000  26.28  65.8  92.08  7.92  6.7  17.33
 70000  26.3  67.86  94.15  5.85  5.53  23.36
 80000  26.3  68.49  94.79  5.21  5.12  26.2
 100000  26.29  69.37  95.65  4.35  4.52  31.56
 125000  26.31  70.09  96.4  3.6  3.91  37.7
 200000  26.25  71.12  97.37  2.63  2.94  52.89
 300000  26.27  71.66  97.93  2.07  2.17  67.33
 400000  26.25  71.93  98.18  1.82  1.71  77.08
 500000  26.23  72.06  98.28  1.72  1.42  83.67
