 w  FPR   FNR   Error   1-E   Phi   percentDup
 100  34.26  0.11  34.37  65.63  2.69  0.04
 500  34.17  0.55  34.72  65.28  6  0.19
 1000  34.04  1.06  35.11  64.89  8.4  0.38
 5000  33.13  5.38  38.51  61.49  17.62  1.89
 10000  32.14  10.21  42.35  57.65  23.03  3.74
 15000  31.28  14.46  45.74  54.26  26.18  5.55
 20000  30.54  18.27  48.81  51.19  28.11  7.33
 30000  29.33  24.73  54.06  45.94  30.03  10.8
 50000  27.73  34.43  62.16  37.84  30.17  17.33
 70000  26.79  41.1  67.89  32.11  28.62  23.36
 80000  26.46  43.67  70.13  29.87  27.67  26.2
 100000  25.99  47.72  73.71  26.29  25.74  31.56
 125000  25.63  51.4  77.03  22.97  23.46  37.7
 200000  25.14  57.56  82.71  17.29  18.19  52.89
 300000  24.91  61.16  86.07  13.93  13.76  67.33
 400000  24.76  62.88  87.64  12.36  10.95  77.08
 500000  24.58  63.82  88.4  11.6  9.04  83.67
