 w  FPR   FNR   Error   1-E   Phi   percentDup
 100  25.14  0.05  25.19  74.81  3.36  0.04
 500  25.03  0.65  25.67  74.33  7.47  0.19
 1000  24.89  1.16  26.05  73.95  10.47  0.38
 5000  23.85  6.05  29.9  70.1  21.97  1.89
 10000  22.71  11.4  34.11  65.89  28.79  3.74
 15000  21.73  16.23  37.96  62.04  32.74  5.55
 20000  20.88  20.56  41.44  58.56  35.17  7.33
 30000  19.49  27.93  47.42  52.58  37.6  10.8
 50000  17.64  38.88  56.52  43.48  37.92  17.33
 70000  16.53  46.48  63.01  36.99  36.06  23.36
 80000  16.15  49.42  65.57  34.43  34.88  26.2
 100000  15.59  54.06  69.65  30.35  32.5  31.56
 125000  15.16  58.29  73.45  26.55  29.65  37.7
 200000  14.6  65.41  80.01  19.99  22.99  52.89
 300000  14.36  69.58  83.95  16.05  17.35  67.33
 400000  14.24  71.58  85.82  14.18  13.73  77.08
 500000  14.11  72.67  86.78  13.22  11.26  83.67
